90 #SUP: 8416
1 90 #SUP: 4488
2 90 #SUP: 3928
5 90 #SUP: 3796
6 90 #SUP: 3292
7 90 #SUP: 840
11 90 #SUP: 3268
12 90 #SUP: 2684
13 90 #SUP: 2320
24 90 #SUP: 5040
31 90 #SUP: 3808
36 90 #SUP: 8200
38 90 #SUP: 6824
41 90 #SUP: 5880
53 90 #SUP: 1232
55 90 #SUP: 3552
63 90 #SUP: 2480
67 90 #SUP: 5316
71 90 #SUP: 5076
90 94 #SUP: 8216
90 97 #SUP: 7768
90 104 #SUP: 3968
90 114 #SUP: 2424
90 120 #SUP: 4064
90 97 108 #SUP: 2096
90 97 120 #SUP: 3976
90 97 123 #SUP: 856
90 104 120 #SUP: 1560
1 5 12 90 #SUP: 546
1 5 13 90 #SUP: 568
1 5 31 90 #SUP: 1684
1 5 38 90 #SUP: 1404
1 5 41 90 #SUP: 1956
1 5 55 90 #SUP: 660
1 5 67 90 #SUP: 1764
1 5 71 90 #SUP: 1644
1 5 90 97 #SUP: 1904
1 5 90 104 #SUP: 1460
1 5 90 120 #SUP: 564
1 6 12 90 #SUP: 370
1 6 13 90 #SUP: 568
1 6 31 90 #SUP: 1588
1 6 38 90 #SUP: 1148
1 6 41 90 #SUP: 1604
1 6 55 90 #SUP: 308
1 6 67 90 #SUP: 1460
1 6 71 90 #SUP: 1340
1 6 90 97 #SUP: 1648
1 6 90 104 #SUP: 1108
1 6 90 120 #SUP: 564
1 12 41 90 #SUP: 1224
1 12 67 90 #SUP: 936
1 12 71 90 #SUP: 936
1 12 90 97 #SUP: 1008
1 12 90 104 #SUP: 664
1 13 31 90 #SUP: 1192
1 13 38 90 #SUP: 984
1 13 41 90 #SUP: 1192
1 13 55 90 #SUP: 456
1 13 67 90 #SUP: 1120
1 13 90 97 #SUP: 1216
1 24 31 90 #SUP: 1736
1 31 38 90 #SUP: 2304
1 31 41 90 #SUP: 3472
1 31 55 90 #SUP: 936
1 31 67 90 #SUP: 2980
1 31 71 90 #SUP: 2932
1 31 90 97 #SUP: 3160
1 31 90 104 #SUP: 2352
1 31 90 120 #SUP: 1120
1 36 90 94 #SUP: 4296
1 38 41 90 #SUP: 2864
1 38 55 90 #SUP: 1280
1 38 67 90 #SUP: 2992
1 38 90 104 #SUP: 2768
1 41 55 90 #SUP: 1424
1 41 67 90 #SUP: 3504
1 41 71 90 #SUP: 3312
1 41 90 97 #SUP: 3648
1 41 90 104 #SUP: 2960
1 44 90 97 #SUP: 1000
1 55 67 90 #SUP: 1444
1 55 71 90 #SUP: 1204
1 55 90 97 #SUP: 1112
1 55 90 104 #SUP: 1328
1 67 71 90 #SUP: 3194
1 67 90 97 #SUP: 3412
1 67 90 104 #SUP: 2992
1 67 90 120 #SUP: 1180
1 71 90 97 #SUP: 3172
1 71 90 104 #SUP: 2800
1 71 90 120 #SUP: 1156
1 90 97 108 #SUP: 1872
1 90 97 120 #SUP: 1200
2 5 90 94 #SUP: 1712
2 6 11 90 #SUP: 717
2 6 24 90 #SUP: 1250
2 6 36 90 #SUP: 1552
2 6 53 90 #SUP: 111
2 6 55 90 #SUP: 840
2 6 90 94 #SUP: 1558
2 6 90 114 #SUP: 604
2 7 90 114 #SUP: 604
2 11 24 90 #SUP: 1584
2 11 36 90 #SUP: 1728
2 11 55 90 #SUP: 888
2 11 90 94 #SUP: 1744
2 11 90 114 #SUP: 940
2 24 36 90 #SUP: 3280
2 24 55 90 #SUP: 1576
2 24 90 94 #SUP: 3296
2 24 90 114 #SUP: 1816
2 36 53 90 #SUP: 240
2 36 55 90 #SUP: 1888
2 36 90 94 #SUP: 3896
2 36 90 97 #SUP: 3808
2 36 90 114 #SUP: 1800
2 38 90 94 #SUP: 3816
2 53 55 90 #SUP: 156
2 53 90 94 #SUP: 248
2 55 90 94 #SUP: 1904
2 55 90 114 #SUP: 96
2 90 94 114 #SUP: 1816
3 31 55 90 #SUP: 196
3 36 55 90 #SUP: 404
3 38 55 90 #SUP: 352
3 55 90 97 #SUP: 316
3 55 90 104 #SUP: 442
5 11 90 94 #SUP: 1430
5 12 13 90 #SUP: 300
5 12 24 90 #SUP: 738
5 12 38 90 #SUP: 762
5 12 41 90 #SUP: 666
5 12 55 90 #SUP: 426
5 12 63 90 #SUP: 416
5 12 67 90 #SUP: 768
5 12 71 90 #SUP: 768
5 12 90 97 #SUP: 1048
5 12 90 104 #SUP: 562
5 12 90 120 #SUP: 492
5 13 24 90 #SUP: 512
5 13 31 90 #SUP: 524
5 13 38 90 #SUP: 788
5 13 41 90 #SUP: 544
5 13 55 90 #SUP: 228
5 13 67 90 #SUP: 700
5 13 71 90 #SUP: 652
5 13 90 94 #SUP: 884
5 13 90 97 #SUP: 900
5 13 90 120 #SUP: 518
5 24 31 90 #SUP: 748
5 24 38 90 #SUP: 1452
5 24 41 90 #SUP: 1324
5 24 55 90 #SUP: 1092
5 24 63 90 #SUP: 752
5 24 67 90 #SUP: 900
5 24 71 90 #SUP: 876
5 24 90 94 #SUP: 2132
5 24 90 97 #SUP: 2064
5 31 38 90 #SUP: 1060
5 31 55 90 #SUP: 316
5 31 90 97 #SUP: 1512
5 31 90 120 #SUP: 524
5 36 90 94 #SUP: 3740
5 38 41 90 #SUP: 2156
5 38 55 90 #SUP: 1436
5 38 63 90 #SUP: 720
5 38 67 90 #SUP: 1984
5 38 71 90 #SUP: 1864
5 38 90 94 #SUP: 2972
5 38 90 97 #SUP: 2920
5 38 90 104 #SUP: 1684
5 38 90 120 #SUP: 1584
5 41 55 90 #SUP: 1244
5 41 67 90 #SUP: 1720
5 41 71 90 #SUP: 1624
5 41 90 94 #SUP: 2716
5 41 90 97 #SUP: 2568
5 41 90 104 #SUP: 1524
5 44 90 97 #SUP: 560
5 53 90 94 #SUP: 538
5 55 67 90 #SUP: 916
5 55 71 90 #SUP: 796
5 55 90 94 #SUP: 1604
5 55 90 97 #SUP: 1456
5 55 90 104 #SUP: 868
5 55 90 120 #SUP: 576
5 63 67 90 #SUP: 472
5 63 71 90 #SUP: 448
5 67 71 90 #SUP: 1986
5 67 90 97 #SUP: 2316
5 67 90 104 #SUP: 1800
5 67 90 120 #SUP: 1036
5 71 90 97 #SUP: 2196
5 71 90 104 #SUP: 1704
5 71 90 120 #SUP: 1024
5 90 94 114 #SUP: 804
5 90 94 128 #SUP: 1562
5 90 97 104 #SUP: 1808
5 90 97 108 #SUP: 1076
5 90 97 120 #SUP: 1696
5 90 104 120 #SUP: 760
6 11 24 90 #SUP: 672
6 11 36 90 #SUP: 1315
6 11 53 90 #SUP: 220
6 11 55 90 #SUP: 603
6 11 90 94 #SUP: 1321
6 11 90 114 #SUP: 365
6 12 13 90 #SUP: 300
6 12 24 90 #SUP: 594
6 12 38 90 #SUP: 604
6 12 41 90 #SUP: 508
6 12 67 90 #SUP: 538
6 12 71 90 #SUP: 538
6 12 90 97 #SUP: 824
6 12 90 104 #SUP: 308
6 12 90 120 #SUP: 462
6 13 24 90 #SUP: 512
6 13 31 90 #SUP: 524
6 13 38 90 #SUP: 788
6 13 41 90 #SUP: 544
6 13 55 90 #SUP: 228
6 13 67 90 #SUP: 700
6 13 71 90 #SUP: 652
6 13 90 94 #SUP: 884
6 13 90 97 #SUP: 900
6 13 90 120 #SUP: 518
6 24 31 90 #SUP: 654
6 24 36 90 #SUP: 1838
6 24 38 90 #SUP: 1356
6 24 41 90 #SUP: 1228
6 24 55 90 #SUP: 806
6 24 90 94 #SUP: 1844
6 24 90 97 #SUP: 1874
6 24 90 114 #SUP: 630
6 31 36 90 #SUP: 1588
6 31 38 90 #SUP: 1096
6 31 41 90 #SUP: 1544
6 31 55 90 #SUP: 260
6 31 67 90 #SUP: 1354
6 31 71 90 #SUP: 1330
6 31 90 97 #SUP: 1516
6 31 90 104 #SUP: 1002
6 31 90 120 #SUP: 560
6 36 53 90 #SUP: 453
6 36 55 90 #SUP: 1092
6 36 90 94 #SUP: 3234
6 36 90 97 #SUP: 3108
6 36 90 100 #SUP: 1186
6 36 90 114 #SUP: 704
6 38 41 90 #SUP: 1936
6 38 55 90 #SUP: 1120
6 38 63 90 #SUP: 720
6 38 67 90 #SUP: 1668
6 38 71 90 #SUP: 1548
6 38 90 94 #SUP: 2656
6 38 90 97 #SUP: 2568
6 38 90 104 #SUP: 1368
6 38 90 120 #SUP: 1572
6 41 67 90 #SUP: 1452
6 41 71 90 #SUP: 1356
6 41 90 94 #SUP: 2400
6 41 90 97 #SUP: 2312
6 44 90 97 #SUP: 448
6 53 55 90 #SUP: 177
6 53 90 94 #SUP: 456
6 55 67 90 #SUP: 458
6 55 69 90 #SUP: 126
6 55 71 90 #SUP: 338
6 55 90 94 #SUP: 1098
6 55 90 97 #SUP: 1012
6 55 90 104 #SUP: 362
6 55 90 114 #SUP: 136
6 55 90 117 #SUP: 108
6 55 90 120 #SUP: 516
6 67 71 90 #SUP: 1552
6 67 90 97 #SUP: 1870
6 67 90 104 #SUP: 1342
6 67 90 120 #SUP: 976
6 71 90 97 #SUP: 1750
6 71 90 104 #SUP: 1246
6 71 90 120 #SUP: 964
6 90 94 114 #SUP: 710
6 90 94 128 #SUP: 1370
6 90 97 104 #SUP: 1362
6 90 97 108 #SUP: 852
6 90 97 120 #SUP: 1600
6 90 97 123 #SUP: 268
6 90 104 120 #SUP: 700
7 11 90 114 #SUP: 357
7 12 24 90 #SUP: 386
7 12 38 90 #SUP: 370
7 12 63 90 #SUP: 416
7 13 24 90 #SUP: 368
7 13 38 90 #SUP: 368
7 13 55 90 #SUP: 96
7 13 67 90 #SUP: 216
7 13 71 90 #SUP: 216
7 24 38 90 #SUP: 652
7 24 55 90 #SUP: 198
7 24 63 90 #SUP: 728
7 24 67 90 #SUP: 396
7 24 71 90 #SUP: 396
7 24 90 97 #SUP: 658
7 24 90 114 #SUP: 726
7 31 55 90 #SUP: 248
7 36 90 114 #SUP: 784
7 38 55 90 #SUP: 140
7 38 63 90 #SUP: 696
7 41 55 90 #SUP: 228
7 55 90 114 #SUP: 216
7 55 90 117 #SUP: 108
7 63 67 90 #SUP: 448
7 63 71 90 #SUP: 448
7 67 71 90 #SUP: 288
7 67 90 97 #SUP: 350
7 71 90 97 #SUP: 350
7 90 94 114 #SUP: 790
7 90 97 123 #SUP: 268
9 36 90 94 #SUP: 2460
11 13 90 94 #SUP: 972
11 24 36 90 #SUP: 1652
11 24 55 90 #SUP: 812
11 24 90 94 #SUP: 1668
11 24 90 114 #SUP: 980
11 31 36 90 #SUP: 1132
11 36 53 90 #SUP: 544
11 36 55 90 #SUP: 1516
11 36 90 94 #SUP: 3236
11 36 90 97 #SUP: 3064
11 36 90 114 #SUP: 1072
11 38 90 94 #SUP: 3220
11 53 55 90 #SUP: 340
11 53 90 94 #SUP: 552
11 55 58 90 #SUP: 312
11 55 69 90 #SUP: 272
11 55 90 94 #SUP: 1532
11 55 90 114 #SUP: 232
11 90 94 114 #SUP: 1088
12 13 24 90 #SUP: 760
12 13 38 90 #SUP: 724
12 13 67 90 #SUP: 564
12 13 71 90 #SUP: 564
12 13 90 97 #SUP: 816
12 24 38 90 #SUP: 1112
12 24 63 90 #SUP: 1200
12 24 67 90 #SUP: 1048
12 24 71 90 #SUP: 1048
12 24 90 97 #SUP: 1664
12 31 41 90 #SUP: 1004
12 36 90 94 #SUP: 2492
12 38 41 90 #SUP: 892
12 38 55 90 #SUP: 780
12 38 63 90 #SUP: 1152
12 38 67 90 #SUP: 1348
12 38 71 90 #SUP: 1348
12 38 90 97 #SUP: 1776
12 38 90 104 #SUP: 972
12 38 90 120 #SUP: 1236
12 41 55 90 #SUP: 748
12 41 67 90 #SUP: 1068
12 41 71 90 #SUP: 1068
12 41 90 97 #SUP: 1248
12 41 90 104 #SUP: 940
12 44 90 97 #SUP: 328
12 55 67 90 #SUP: 892
12 55 71 90 #SUP: 892
12 55 90 104 #SUP: 876
12 63 67 90 #SUP: 792
12 63 71 90 #SUP: 792
12 67 71 90 #SUP: 1320
12 67 90 97 #SUP: 1552
12 67 90 104 #SUP: 988
12 67 90 120 #SUP: 804
12 71 90 97 #SUP: 1552
12 71 90 104 #SUP: 988
12 71 90 120 #SUP: 804
12 90 97 104 #SUP: 1008
12 90 97 108 #SUP: 568
12 90 97 120 #SUP: 1264
12 90 104 120 #SUP: 444
13 24 31 90 #SUP: 576
13 24 38 90 #SUP: 1160
13 24 41 90 #SUP: 488
13 24 55 90 #SUP: 344
13 24 90 94 #SUP: 1272
13 24 90 97 #SUP: 1424
13 31 38 90 #SUP: 904
13 31 55 90 #SUP: 376
13 31 90 97 #SUP: 1136
13 31 90 120 #SUP: 476
13 36 90 94 #SUP: 2116
13 38 41 90 #SUP: 960
13 38 55 90 #SUP: 576
13 38 63 90 #SUP: 1120
13 38 67 90 #SUP: 1528
13 38 71 90 #SUP: 1432
13 38 90 94 #SUP: 1824
13 38 90 97 #SUP: 1920
13 38 90 104 #SUP: 1064
13 38 90 120 #SUP: 1356
13 41 90 94 #SUP: 1024
13 44 90 97 #SUP: 348
13 53 90 94 #SUP: 332
13 55 67 90 #SUP: 544
13 55 71 90 #SUP: 448
13 55 90 94 #SUP: 432
13 55 90 97 #SUP: 528
13 55 90 120 #SUP: 252
13 67 71 90 #SUP: 1292
13 67 90 97 #SUP: 1624
13 67 90 120 #SUP: 932
13 71 90 97 #SUP: 1528
13 71 90 120 #SUP: 932
13 90 94 114 #SUP: 1024
13 90 97 108 #SUP: 600
13 90 97 120 #SUP: 1400
16 36 90 94 #SUP: 2096
20 38 90 94 #SUP: 1500
22 36 90 97 #SUP: 1072
23 36 90 94 #SUP: 3376
24 31 36 90 #SUP: 1584
24 31 55 90 #SUP: 752
24 31 90 97 #SUP: 1472
24 36 39 90 #SUP: 1488
24 36 55 90 #SUP: 2072
24 36 90 94 #SUP: 4816
24 36 90 97 #SUP: 4496
24 36 90 114 #SUP: 2168
24 38 55 90 #SUP: 1824
24 38 90 94 #SUP: 3360
24 38 90 97 #SUP: 3488
24 41 55 90 #SUP: 1840
24 41 90 94 #SUP: 2672
24 41 90 97 #SUP: 2512
24 44 90 97 #SUP: 392
24 53 55 90 #SUP: 256
24 54 55 90 #SUP: 92
24 55 67 90 #SUP: 708
24 55 71 90 #SUP: 660
24 55 90 94 #SUP: 2088
24 55 90 97 #SUP: 1936
24 55 90 104 #SUP: 784
24 55 90 114 #SUP: 464
24 55 90 117 #SUP: 152
24 63 67 90 #SUP: 1248
24 63 71 90 #SUP: 1200
24 66 90 94 #SUP: 2384
24 67 71 90 #SUP: 1258
24 67 90 97 #SUP: 1940
24 71 90 97 #SUP: 1892
24 90 94 114 #SUP: 2184
24 90 94 128 #SUP: 1336
24 90 97 108 #SUP: 704
24 90 97 120 #SUP: 2744
24 90 97 123 #SUP: 848
31 36 39 90 #SUP: 1400
31 36 53 90 #SUP: 824
31 36 55 90 #SUP: 864
31 36 90 94 #SUP: 3608
31 36 90 97 #SUP: 3016
31 36 90 100 #SUP: 1328
31 38 41 90 #SUP: 2232
31 38 55 90 #SUP: 680
31 38 67 90 #SUP: 2360
31 38 90 97 #SUP: 2096
31 38 90 104 #SUP: 2136
31 38 90 120 #SUP: 1152
31 41 55 90 #SUP: 792
31 41 67 90 #SUP: 2872
31 41 71 90 #SUP: 2872
31 41 90 104 #SUP: 2328
31 55 63 90 #SUP: 752
31 55 67 90 #SUP: 820
31 55 71 90 #SUP: 772
31 55 90 97 #SUP: 456
31 55 90 104 #SUP: 704
31 55 90 117 #SUP: 304
31 55 90 120 #SUP: 360
31 67 71 90 #SUP: 2666
31 67 90 97 #SUP: 2620
31 67 90 104 #SUP: 2272
31 67 90 120 #SUP: 1156
31 71 90 97 #SUP: 2572
31 71 90 104 #SUP: 2272
31 71 90 120 #SUP: 1132
31 90 97 120 #SUP: 1136
36 38 90 94 #SUP: 6608
36 39 53 90 #SUP: 212
36 39 55 90 #SUP: 472
36 39 90 97 #SUP: 1304
36 41 90 94 #SUP: 5664
36 42 90 97 #SUP: 2536
36 50 90 94 #SUP: 1556
36 53 55 90 #SUP: 660
36 53 90 94 #SUP: 1216
36 53 90 97 #SUP: 944
36 55 58 90 #SUP: 544
36 55 69 90 #SUP: 272
36 55 90 94 #SUP: 3328
36 55 90 97 #SUP: 2712
36 55 90 114 #SUP: 672
36 57 90 94 #SUP: 3800
36 63 90 94 #SUP: 2288
36 67 90 94 #SUP: 5124
36 71 90 94 #SUP: 4884
36 79 90 94 #SUP: 4744
36 88 90 94 #SUP: 4640
36 90 94 97 #SUP: 7568
36 90 94 100 #SUP: 3048
36 90 94 104 #SUP: 3776
36 90 94 114 #SUP: 2392
36 90 94 120 #SUP: 3968
36 90 94 122 #SUP: 2404
36 90 94 128 #SUP: 3136
36 90 100 114 #SUP: 2032
38 41 55 90 #SUP: 2552
38 41 67 90 #SUP: 3064
38 41 71 90 #SUP: 2872
38 41 90 94 #SUP: 4376
38 41 90 97 #SUP: 4208
38 41 90 104 #SUP: 3032
38 41 90 120 #SUP: 1840
38 53 90 94 #SUP: 1020
38 55 67 90 #SUP: 1688
38 55 90 94 #SUP: 2888
38 55 90 97 #SUP: 2720
38 55 90 104 #SUP: 1464
38 55 90 120 #SUP: 1112
38 63 67 90 #SUP: 1296
38 63 71 90 #SUP: 1248
38 67 71 90 #SUP: 3680
38 67 90 97 #SUP: 4128
38 67 90 104 #SUP: 3320
38 67 90 120 #SUP: 2232
38 71 90 97 #SUP: 3888
38 71 90 104 #SUP: 3128
38 71 90 120 #SUP: 2208
38 90 94 114 #SUP: 2048
38 90 94 128 #SUP: 2968
38 90 97 104 #SUP: 3360
38 90 97 120 #SUP: 3760
38 90 104 120 #SUP: 1416
41 53 90 94 #SUP: 1008
41 55 67 90 #SUP: 1336
41 55 71 90 #SUP: 1144
41 55 90 94 #SUP: 2648
41 55 90 104 #SUP: 1304
41 67 71 90 #SUP: 3128
41 67 90 97 #SUP: 3280
41 67 90 104 #SUP: 3016
41 71 90 97 #SUP: 3088
41 71 90 104 #SUP: 2824
44 67 90 97 #SUP: 984
44 71 90 97 #SUP: 920
44 90 97 108 #SUP: 540
53 55 58 90 #SUP: 156
53 55 69 90 #SUP: 140
53 55 90 94 #SUP: 668
53 55 90 114 #SUP: 380
53 90 94 128 #SUP: 540
55 67 71 90 #SUP: 1642
55 67 90 97 #SUP: 1532
55 67 90 104 #SUP: 1696
55 67 90 120 #SUP: 516
55 71 90 97 #SUP: 1292
55 71 90 104 #SUP: 1504
55 71 90 120 #SUP: 492
55 90 94 114 #SUP: 688
55 90 97 120 #SUP: 1144
55 90 114 117 #SUP: 256
63 67 71 90 #SUP: 888
67 71 90 97 #SUP: 3858
67 71 90 104 #SUP: 3328
67 71 90 120 #SUP: 1902
67 90 97 104 #SUP: 3416
67 90 97 108 #SUP: 1840
67 90 97 120 #SUP: 2324
67 90 97 123 #SUP: 524
67 90 104 120 #SUP: 1488
71 90 97 104 #SUP: 3224
71 90 97 108 #SUP: 1744
71 90 97 120 #SUP: 2300
71 90 97 123 #SUP: 524
71 90 104 120 #SUP: 1488
90 97 104 120 #SUP: 1472
1 5 12 41 90 #SUP: 522
1 5 12 67 90 #SUP: 392
1 5 12 71 90 #SUP: 392
1 5 12 90 97 #SUP: 456
1 5 12 90 104 #SUP: 258
1 5 13 31 90 #SUP: 520
1 5 13 38 90 #SUP: 424
1 5 13 41 90 #SUP: 536
1 5 13 55 90 #SUP: 152
1 5 13 67 90 #SUP: 492
1 5 13 90 97 #SUP: 544
1 5 24 31 90 #SUP: 740
1 5 31 38 90 #SUP: 1052
1 5 31 41 90 #SUP: 1604
1 5 31 55 90 #SUP: 308
1 5 31 67 90 #SUP: 1364
1 5 31 71 90 #SUP: 1340
1 5 31 90 97 #SUP: 1504
1 5 31 90 104 #SUP: 1060
1 5 31 90 120 #SUP: 516
1 5 36 90 94 #SUP: 2036
1 5 38 41 90 #SUP: 1348
1 5 38 55 90 #SUP: 540
1 5 38 67 90 #SUP: 1400
1 5 38 90 104 #SUP: 1316
1 5 41 55 90 #SUP: 580
1 5 41 67 90 #SUP: 1648
1 5 41 71 90 #SUP: 1552
1 5 41 90 97 #SUP: 1776
1 5 41 90 104 #SUP: 1380
1 5 44 90 97 #SUP: 480
1 5 55 67 90 #SUP: 596
1 5 55 71 90 #SUP: 476
1 5 55 90 97 #SUP: 480
1 5 55 90 104 #SUP: 548
1 5 67 71 90 #SUP: 1486
1 5 67 90 97 #SUP: 1636
1 5 67 90 104 #SUP: 1408
1 5 67 90 120 #SUP: 552
1 5 71 90 97 #SUP: 1516
1 5 71 90 104 #SUP: 1312
1 5 71 90 120 #SUP: 540
1 5 90 97 108 #SUP: 916
1 5 90 97 120 #SUP: 556
1 6 12 67 90 #SUP: 240
1 6 12 71 90 #SUP: 240
1 6 12 90 97 #SUP: 328
1 6 13 31 90 #SUP: 520
1 6 13 38 90 #SUP: 424
1 6 13 41 90 #SUP: 536
1 6 13 55 90 #SUP: 152
1 6 13 67 90 #SUP: 492
1 6 13 90 97 #SUP: 544
1 6 24 31 90 #SUP: 644
1 6 31 38 90 #SUP: 1052
1 6 31 41 90 #SUP: 1508
1 6 31 55 90 #SUP: 212
1 6 31 67 90 #SUP: 1316
1 6 31 71 90 #SUP: 1292
1 6 31 90 97 #SUP: 1504
1 6 31 90 120 #SUP: 516
1 6 36 90 94 #SUP: 1684
1 6 38 41 90 #SUP: 1092
1 6 38 55 90 #SUP: 284
1 6 38 67 90 #SUP: 1144
1 6 38 90 104 #SUP: 1060
1 6 41 67 90 #SUP: 1344
1 6 41 90 97 #SUP: 1520
1 6 44 90 97 #SUP: 416
1 6 55 67 90 #SUP: 292
1 6 55 90 97 #SUP: 224
1 6 67 71 90 #SUP: 1206
1 6 67 90 97 #SUP: 1380
1 6 67 90 104 #SUP: 1104
1 6 67 90 120 #SUP: 552
1 6 71 90 97 #SUP: 1260
1 6 71 90 120 #SUP: 540
1 6 90 97 108 #SUP: 788
1 6 90 97 120 #SUP: 556
1 7 31 55 90 #SUP: 236
1 9 36 90 94 #SUP: 1700
1 11 36 90 94 #SUP: 1516
1 12 31 41 90 #SUP: 968
1 12 36 90 94 #SUP: 1080
1 12 41 55 90 #SUP: 712
1 12 41 67 90 #SUP: 888
1 12 41 71 90 #SUP: 888
1 12 41 90 97 #SUP: 960
1 12 44 90 97 #SUP: 272
1 12 67 71 90 #SUP: 772
1 12 67 90 97 #SUP: 752
1 12 67 90 104 #SUP: 584
1 12 71 90 97 #SUP: 752
1 12 71 90 104 #SUP: 584
